id,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic30,qt1,qt2,qt3,qt4,qt5,qt6,qt7,qt8,qt9,qt10,qt11,qt12,qt13,qt14,qt15,qt16,qt17,qt18,qt19,qt20,qt21,qt22,qt23,qt24,qt25,qt26,qt27,qt28,qt29,qt30,comment,addip,addtime
276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2014/11/27
277,是,会,有,支持,左手,会点，但不熟练,我是幸福的,不管聪明否，至少在人生激励着我,好奇,我亲戚有的是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2014/11/30
278,不是,一点不会,有,支持,右手,只会用右手,喜忧参半,想法经常和别人不同,兴趣,"家里有左撇子, 家人是，我不是",支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2014/12/5
279,是,会点,有,无所谓,左手,被纠正过来了,我是自豪的,不管聪明否，至少在人生激励着我,兴趣,家里有左撇子,和家长沟通，看他们的态度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2014/12/15
280,不是,一点不会,有,支持,左手,只会用右手,喜忧参半,想法经常和别人不同,好奇,"家里有左撇子, 家人是，我不是",观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2014/12/18
281,是,会,有,无所谓,左手,会点，但不熟练,我是自豪的,不管聪明否，至少在人生激励着我,好奇,家里有左撇子,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2014/12/21
282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2015/1/12
283,是,一点不会,有,支持,左手,被纠正过来了,喜忧参半,不管聪明否，至少在人生激励着我,不会,朋友是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2015/2/3
284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2015/2/3
285,是,会,没有,无所谓,左手,一直都是,我是幸福的,没感觉到,不会,我亲戚有的是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2015/2/9
286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/2/9
287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/2/13
288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/2/16
289,是,会点,有,支持,两手都可以,会点，但不熟练,我是幸福的,不管聪明否，至少在人生激励着我,兴趣,"家里有左撇子, 我亲戚有的是",支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2015/2/18
290,是,两手都会,有,支持,两手都可以,被纠正过来了,我是自豪的,不管聪明否，至少在人生激励着我,好奇,家里有左撇子,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/2/18
291,是,两手都会,没有,支持,左手,会点，但不熟练,我是自豪的,不管聪明否，至少在人生激励着我,兴趣,家里有左撇子,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/2/20
292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.228,2015/2/20
293,其他,会点,有,支持,两手都可以,一直都是,"我是幸福的, 我是自豪的",不管聪明否，至少在人生激励着我,好奇,,"观察一段时间后，让孩子自己来决定, 支持孩子，因为世界存在差异性",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/3/7
294,是,会点,没有,无所谓,左手,会点，但不熟练,喜忧参半,想法经常和别人不同,好奇,朋友是,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/3/27
295,不知道,会点,有,支持,两手都可以,会点，但不熟练,,想法经常和别人不同,兴趣,朋友是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/3/28
296,不知道,会,有,支持,两手都可以,会点，但不熟练,我是幸福的,不管聪明否，至少在人生激励着我,兴趣,我亲戚有的是,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/3/28
297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/3/28
298,是,两手都会,有,支持,左手,会点，但不熟练,"我是幸福的, 喜忧参半, 我是自豪的, 有时比较痛苦",没感觉到,兴趣,朋友是,"观察一段时间后，让孩子自己来决定, 支持孩子，因为世界存在差异性",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/3/28
299,是,两手都会,有,支持,两手都可以,会点，但不熟练,"我是幸福的, 我是自豪的",不管聪明否，至少在人生激励着我,兴趣,"家里有左撇子, 我亲戚有的是",支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/3/29
300,是,一点不会,有,支持,左手,被纠正过来了,"我是幸福的, 我是自豪的","想法经常和别人不同, 不管聪明否，至少在人生激励着我",兴趣,家里有左撇子,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/3/31
301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/4/2
302,是,会,有,支持,左手,一直都是,"我是幸福的, 我是自豪的",不管聪明否，至少在人生激励着我,兴趣,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/4/2
303,是,会,有,支持,左手,一直都是,我是自豪的,不管聪明否，至少在人生激励着我,好奇,"家里有左撇子, 我亲戚有的是, 朋友是",支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/4/3
304,是,一点不会,没有,支持,左手,被纠正过来了,我是幸福的,想法经常和别人不同,兴趣,朋友是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/4/3
305,不知道,会点,有,支持,左手,会点，但不熟练,有时比较痛苦,不管聪明否，至少在人生激励着我,好奇,我亲戚有的是,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/4/4
306,是,两手都会,有,支持,左手,一直都是,"我是幸福的, 喜忧参半, 我是自豪的, 有时比较痛苦",没感觉到,兴趣,朋友是,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/4/5
307,是,两手都会,有,支持,左手,会点，但不熟练,我是自豪的,不管聪明否，至少在人生激励着我,兴趣,家里有左撇子,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/4/7
308,不知道,会点,有,无所谓,左手,会点，但不熟练,我是自豪的,有点创新,兴趣,家里有左撇子,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/4/9
309,是,一点不会,有,支持,两手都可以,只会用右手,我是幸福的,想法经常和别人不同,保留，我已经习惯原来的,朋友是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/4/10
310,是,会点,有,支持,左手,会点，但不熟练,"我是幸福的, 我是自豪的","有点创新, 想法经常和别人不同, 不管聪明否，至少在人生激励着我",好奇,家里有左撇子,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/4/10
311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/4/10
312,是,会点,有,支持,左手,会点，但不熟练,我是幸福的,不管聪明否，至少在人生激励着我,好奇,"家里有左撇子, 我亲戚有的是",支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/4/11
313,不知道,会点,没有,不好说，看情况,两手都可以,会点，但不熟练,我是自豪的,不管聪明否，至少在人生激励着我,好奇,家里有左撇子,和家长沟通，看他们的态度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/4/15
314,是,会,没有,支持,左手,一直都是,喜忧参半,想法经常和别人不同,保留，我已经习惯原来的,朋友是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/4/15
315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/4/16
316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/4/17
317,是,会点,有,支持,不知道,被纠正过来了,有时比较痛苦,有点创新,好奇,家里有左撇子,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/4/19
318,不是,两手都会,没有,支持,左手,会点，但不熟练,"我是幸福的, 我是自豪的","有点创新, 不管聪明否，至少在人生激励着我",好奇,朋友是,"和家长沟通，看他们的态度, 观察一段时间后，让孩子自己来决定",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/4/21
319,不是,一点不会,不知道,不好说，看情况,右手,一直都是,我是自豪的,不管聪明否，至少在人生激励着我,保留，我已经习惯原来的,朋友是,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/4/24
320,不是,会,有,支持,右手,一直都是,我是幸福的,没感觉到,好奇,朋友是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/4/24
321,是,两手都会,有,支持,左手,被纠正过来了,我是自豪的,没感觉到,兴趣,我亲戚有的是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/4/26
322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/4/26
323,是,一点不会,有,支持,左手,只会用右手,我是自豪的,不管聪明否，至少在人生激励着我,兴趣,家里有左撇子,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/4/27
324,是,会点,有,无所谓,左手,会点，但不熟练,"喜忧参半, 有时比较痛苦","没感觉到, 想法经常和别人不同, 不管聪明否，至少在人生激励着我",好奇,家里有左撇子,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/4/28
325,是,会点,有,支持,两手都可以,被纠正过来了,我是自豪的,"想法经常和别人不同, 不管聪明否，至少在人生激励着我",好奇,家里有左撇子,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/4/28
326,是,两手都会,有,支持,左手,被纠正过来了,我是自豪的,"有点创新, 想法经常和别人不同",好奇,,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/4/29
327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/4/29
328,是,会点,没有,支持,左手,被纠正过来了,我是幸福的,不管聪明否，至少在人生激励着我,好奇,我亲戚有的是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/4/29
329,不是,一点不会,有,支持,右手,只会用右手,喜忧参半,不管聪明否，至少在人生激励着我,好奇,朋友是,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/2
330,不是,会点,有,支持,右手,被纠正过来了,喜忧参半,不管聪明否，至少在人生激励着我,好奇,朋友是,和家长沟通，看他们的态度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/3
331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/3
332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/3
333,不是,会点,没有,支持,左手,会点，但不熟练,"我是幸福的, 我是自豪的","有点创新, 不管聪明否，至少在人生激励着我",好奇,朋友是,"观察一段时间后，让孩子自己来决定, 支持孩子，因为世界存在差异性",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/5
334,是,会点,有,支持,左手,会点，但不熟练,"我是幸福的, 我是自豪的","有点创新, 想法经常和别人不同, 不管聪明否，至少在人生激励着我",好奇,家里有左撇子,"观察一段时间后，让孩子自己来决定, 支持孩子，因为世界存在差异性",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/13
335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/13
336,是,会,没有,支持,左手,一直都是,"喜忧参半, 我是自豪的",想法经常和别人不同,兴趣,我亲戚有的是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/15
337,不知道,会点,有,支持,左手,会点，但不熟练,喜忧参半,想法经常和别人不同,保留，我已经习惯原来的,朋友是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/16
338,是,会点,有,支持,两手都可以,会点，但不熟练,"我是幸福的, 喜忧参半",没感觉到,兴趣,"家里有左撇子, 我亲戚有的是",支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/18
339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/20
340,是,会点,没有,支持,左手,会点，但不熟练,我是自豪的,有点创新,兴趣,家里有左撇子,观察一段时间后，让孩子自己来决定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/23
341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/25
342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/27
343,是,会点,有,支持,左手,会点，但不熟练,"我是幸福的, 喜忧参半, 有时比较痛苦","没感觉到, 想法经常和别人不同, 不管聪明否，至少在人生激励着我",好奇,朋友是,支持孩子，因为世界存在差异性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/30
344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
345,是,会,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
346,是,会,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
347,是 ,会,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
348,是,会,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
349,是,会,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
350,是,会 ,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
351,是 AND 1=CHAR(106)+CHAR(106)+CHAR(106),会,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
352,是,会,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
353,是,会,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
354,是,会,有 ,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
355,是,会 AND 1=CHAR(106)+CHAR(106)+CHAR(106),有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
356,是,会%27 AND 47=28 #,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
357,是%27 AND 68=47 #,会,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
358,是,会,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
359,是,会' WAITFOR DELAY '0:0:5'--,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
360,是,会,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
361,是,会'; WAITFOR DELAY '0:0:5'--,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
362,是,会,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
363,是,会%'; WAITFOR DELAY '0:0:5'--,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
364,是,会,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
365,是,会 WAITFOR DELAY '0:0:5' --,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
366,是,会,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
367,是,会) WAITFOR DELAY '0:0:5' --,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
368,是,会,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
369,是,会') WAITFOR DELAY '0:0:5' --,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
370,是,会,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
371,是,会,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
372,是,会 AND SLEEP(5),有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
373,是,会,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
374,是,会 AND SLEEP(5) #,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
375,是,会,有 AND 1=CHAR(106)+CHAR(106)+CHAR(106),支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
376,是,会,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
377,是,会,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
378,是,会,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
379,是,会,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
380,是,会,有,支持,左手,会点，但不熟练,我是幸福的,没感觉到,好奇,家里有左撇子,立即纠正，因为自古都是右手写字,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.139.126.203,2015/5/31
